gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score
female,group D,bachelor's degree,standard,0,0.65,0.6024096385542169,0.5777777777777777,0.6117216117216118
male,group B,some college,standard,0,0.79,0.6024096385542169,0.6333333333333333,0.6813186813186813
male,group D,bachelor's degree,standard,1,0.68,0.6867469879518073,0.7111111111111111,0.6923076923076923
female,group D,associate's degree,standard,0,0.85,0.8915662650602411,0.8777777777777778,0.8717948717948718
male,group B,high school,standard,1,0.6,0.32530120481927716,0.41111111111111115,0.45421245421245426
male,group C,some college,standard,1,0.98,0.8313253012048193,0.8888888888888888,0.9047619047619048
female,group C,some college,standard,0,0.58,0.6024096385542169,0.6888888888888889,0.6227106227106227
female,group D,master's degree,standard,0,0.87,1.0,1.0,0.9523809523809524
male,group E,associate's degree,standard,1,0.66,0.5542168674698795,0.6,0.6080586080586081
female,group B,associate's degree,free/reduced,0,0.52,0.710843373493976,0.6666666666666666,0.6263736263736264
female,group B,some high school,standard,0,0.7000000000000001,0.5662650602409639,0.6888888888888889,0.6556776556776557
female,group D,associate's degree,free/reduced,1,0.77,0.8674698795180723,0.9777777777777779,0.8681318681318682
male,group C,high school,standard,0,0.62,0.45783132530120485,0.4333333333333334,0.5091575091575091
male,group A,associate's degree,standard,0,0.54,0.4337349397590362,0.41111111111111115,0.4652014652014652
female,group D,some college,standard,0,0.51,0.49397590361445787,0.4888888888888889,0.4981684981684982
female,group E,bachelor's degree,standard,1,0.99,1.0,1.0,0.9963369963369965
male,group C,high school,standard,0,0.84,0.7228915662650603,0.7111111111111111,0.761904761904762
female,group B,bachelor's degree,free/reduced,0,0.75,0.819277108433735,0.7999999999999999,0.7875457875457875
female,group D,bachelor's degree,standard,0,0.78,0.783132530120482,0.7666666666666666,0.7765567765567766
female,group D,some high school,standard,0,0.51,0.5542168674698795,0.5666666666666667,0.5421245421245422
female,group C,some college,standard,0,0.55,0.6265060240963856,0.611111111111111,0.5934065934065934
female,group C,bachelor's degree,standard,1,0.79,0.9036144578313253,0.8777777777777778,0.8534798534798534
male,group B,associate's degree,standard,1,0.91,0.8674698795180723,0.9111111111111112,0.8974358974358975
female,group C,some college,standard,1,0.88,0.9156626506024098,0.9222222222222223,0.9047619047619048
male,group D,high school,free/reduced,0,0.63,0.4819277108433735,0.5111111111111111,0.5457875457875458
male,group E,some college,standard,0,0.8300000000000001,0.7590361445783133,0.7,0.7655677655677656
female,group B,high school,standard,0,0.87,0.9397590361445783,0.8444444444444444,0.8827838827838828
male,group B,some high school,standard,0,0.72,0.6144578313253013,0.6333333333333333,0.6593406593406593
male,group D,some college,standard,1,0.65,0.7228915662650603,0.7111111111111111,0.6923076923076923
male,group D,master's degree,standard,0,0.8200000000000001,0.783132530120482,0.7111111111111111,0.7728937728937729
female,group A,bachelor's degree,standard,0,0.51,0.3855421686746988,0.45555555555555555,0.45421245421245426
male,group D,master's degree,standard,0,0.89,0.8072289156626508,0.7999999999999999,0.8351648351648352
male,group C,some high school,free/reduced,1,0.53,0.24096385542168677,0.33333333333333337,0.3772893772893773
male,group E,some college,free/reduced,1,0.87,0.6867469879518073,0.6666666666666666,0.7472527472527473
female,group C,some college,standard,1,0.75,0.7710843373493976,0.8222222222222222,0.7802197802197802
male,group D,bachelor's degree,free/reduced,1,0.74,0.746987951807229,0.7222222222222222,0.7362637362637363
male,group C,bachelor's degree,standard,0,0.58,0.45783132530120485,0.4222222222222222,0.4908424908424909
male,group B,some high school,standard,1,0.51,0.4457831325301205,0.34444444444444444,0.4358974358974359
male,group E,high school,standard,0,0.7000000000000001,0.45783132530120485,0.5111111111111111,0.5641025641025641
female,group C,associate's degree,standard,0,0.59,0.5903614457831325,0.6333333333333333,0.6043956043956044
male,group D,some college,standard,1,0.71,0.5301204819277109,0.6555555555555556,0.6373626373626374
female,group D,some high school,standard,0,0.76,0.6626506024096386,0.6777777777777778,0.7032967032967034
female,group C,some college,free/reduced,0,0.59,0.5421686746987953,0.6,0.5787545787545788
female,group E,some college,free/reduced,1,0.42,0.45783132530120485,0.4888888888888889,0.45421245421245426
male,group A,high school,standard,0,0.5700000000000001,0.3132530120481928,0.41111111111111115,0.43956043956043955
male,group D,some college,standard,0,0.88,0.674698795180723,0.7555555555555555,0.7765567765567766
female,group C,some college,free/reduced,0,0.22,0.2650602409638554,0.2555555555555556,0.24542124542124544
male,group B,some high school,standard,0,0.88,0.8072289156626508,0.7222222222222222,0.8058608058608059
male,group C,associate's degree,free/reduced,0,0.73,0.6144578313253013,0.6222222222222222,0.6593406593406593
female,group D,bachelor's degree,standard,1,0.68,0.6987951807228916,0.7888888888888889,0.7216117216117216
male,group E,associate's degree,free/reduced,1,1.0,1.0,0.9222222222222223,0.9743589743589743
male,group A,some high school,standard,1,0.62,0.6024096385542169,0.6555555555555556,0.6263736263736264
male,group A,bachelor's degree,standard,0,0.77,0.6024096385542169,0.6444444444444444,0.6776556776556777
female,group B,associate's degree,standard,1,0.59,0.6385542168674699,0.6222222222222222,0.6153846153846154
male,group D,bachelor's degree,standard,0,0.54,0.3855421686746988,0.41111111111111115,0.4505494505494506
male,group D,some high school,standard,0,0.62,0.6024096385542169,0.5666666666666667,0.5970695970695971
female,group C,some college,standard,1,0.7000000000000001,0.8674698795180723,0.8666666666666667,0.8058608058608059
female,group E,high school,free/reduced,1,0.66,0.6867469879518073,0.7555555555555555,0.6996336996336997
male,group B,some college,free/reduced,0,0.6,0.5180722891566265,0.5555555555555556,0.5604395604395604
female,group B,associate's degree,standard,1,0.61,0.8313253012048193,0.8555555555555555,0.7582417582417582
male,group D,associate's degree,free/reduced,0,0.66,0.5421686746987953,0.6,0.6043956043956044
male,group B,associate's degree,free/reduced,1,0.8200000000000001,0.7349397590361446,0.7111111111111111,0.7582417582417582
female,group E,some college,free/reduced,1,0.75,0.855421686746988,0.8333333333333334,0.8095238095238095
male,group B,master's degree,free/reduced,0,0.49,0.4337349397590362,0.46666666666666673,0.4652014652014652
male,group C,high school,standard,0,0.52,0.4337349397590362,0.4333333333333334,0.4652014652014652
female,group E,master's degree,standard,0,0.81,0.9036144578313253,0.8999999999999999,0.8681318681318682
female,group C,bachelor's degree,standard,1,0.96,1.0,1.0,0.9853479853479853
male,group C,high school,free/reduced,1,0.53,0.40963855421686746,0.45555555555555555,0.46886446886446886
female,group B,master's degree,free/reduced,1,0.58,0.710843373493976,0.7555555555555555,0.6776556776556777
female,group B,high school,standard,1,0.68,0.7951807228915663,0.7555555555555555,0.73992673992674
female,group C,some college,free/reduced,1,0.67,0.6987951807228916,0.6666666666666666,0.6776556776556777
male,group A,high school,standard,1,0.72,0.674698795180723,0.7111111111111111,0.7032967032967034
male,group E,some high school,standard,0,0.9400000000000001,0.855421686746988,0.7555555555555555,0.8534798534798534
female,group D,some college,standard,0,0.79,0.8313253012048193,0.7888888888888889,0.8021978021978022
female,group C,associate's degree,standard,0,0.63,0.6024096385542169,0.6666666666666666,0.6336996336996337
female,group C,bachelor's degree,free/reduced,1,0.43,0.40963855421686746,0.4888888888888889,0.4432234432234432
female,group C,master's degree,standard,1,0.81,0.8915662650602411,0.8555555555555555,0.8498168498168498
female,group B,high school,free/reduced,1,0.46,0.4457831325301205,0.5333333333333333,0.4798534798534799
female,group C,associate's degree,standard,1,0.71,0.7228915662650603,0.7444444444444445,0.7252747252747253
female,group B,master's degree,free/reduced,1,0.52,0.6385542168674699,0.5777777777777777,0.5750915750915752
female,group D,some high school,standard,1,0.97,1.0,1.0,0.9890109890109889
male,group C,master's degree,free/reduced,1,0.62,0.6144578313253013,0.7222222222222222,0.652014652014652
female,group C,some college,free/reduced,0,0.46,0.5662650602409639,0.6222222222222222,0.5457875457875458
female,group E,high school,standard,0,0.5,0.3975903614457832,0.41111111111111115,0.43956043956043955
female,group D,associate's degree,standard,0,0.65,0.6265060240963856,0.6666666666666666,0.6483516483516484
male,group C,some high school,free/reduced,1,0.45,0.42168674698795183,0.4333333333333334,0.4358974358974359
male,group C,associate's degree,free/reduced,1,0.65,0.6024096385542169,0.611111111111111,0.6227106227106227
male,group E,high school,standard,0,0.8,0.710843373493976,0.611111111111111,0.7106227106227107
male,group D,some high school,standard,1,0.62,0.5903614457831325,0.6444444444444444,0.6190476190476191
male,group B,some high school,free/reduced,0,0.48,0.42168674698795183,0.3888888888888889,0.43223443223443225
female,group C,bachelor's degree,standard,0,0.77,0.855421686746988,0.8555555555555555,0.8241758241758242
female,group E,associate's degree,standard,0,0.66,0.5783132530120483,0.6555555555555556,0.6336996336996337
male,group D,some college,standard,1,0.76,0.7951807228915663,0.7666666666666666,0.7728937728937729
female,group B,some high school,standard,0,0.62,0.5662650602409639,0.6222222222222222,0.6043956043956044
male,group D,some college,standard,1,0.77,0.5421686746987953,0.5777777777777777,0.6373626373626374
female,group C,master's degree,standard,1,0.6900000000000001,0.8072289156626508,0.8333333333333334,0.7728937728937729
male,group D,associate's degree,standard,0,0.61,0.45783132530120485,0.46666666666666673,0.5164835164835165
male,group C,some high school,free/reduced,1,0.59,0.6265060240963856,0.611111111111111,0.6080586080586081
male,group E,high school,free/reduced,0,0.55,0.4698795180722892,0.45555555555555555,0.4945054945054945
female,group B,some college,free/reduced,0,0.45,0.4337349397590362,0.5,0.46153846153846156
female,group B,bachelor's degree,free/reduced,0,0.78,0.746987951807229,0.7333333333333333,0.7545787545787546
female,group C,associate's degree,standard,1,0.67,0.8072289156626508,0.8444444444444444,0.7692307692307693
female,group D,some college,free/reduced,0,0.65,0.7710843373493976,0.7444444444444445,0.717948717948718
male,group C,associate's degree,standard,0,0.6900000000000001,0.7228915662650603,0.6555555555555556,0.6886446886446886
female,group B,associate's degree,standard,0,0.5700000000000001,0.6265060240963856,0.6444444444444444,0.6117216117216118
male,group C,some college,standard,0,0.59,0.28915662650602414,0.35555555555555557,0.4212454212454213
male,group D,some high school,standard,1,0.74,0.6506024096385543,0.7555555555555555,0.717948717948718
male,group E,bachelor's degree,standard,0,0.8200000000000001,0.5421686746987953,0.5777777777777777,0.6556776556776557
male,group E,high school,standard,1,0.81,0.7590361445783133,0.7333333333333333,0.7692307692307693
female,group B,some college,free/reduced,0,0.74,0.7710843373493976,0.7333333333333333,0.7472527472527473
female,group B,some college,free/reduced,0,0.58,0.5301204819277109,0.6222222222222222,0.5787545787545788
male,group D,some high school,free/reduced,1,0.8,0.746987951807229,0.7666666666666666,0.7728937728937729
male,group C,some college,free/reduced,0,0.35000000000000003,0.13253012048192772,0.18888888888888888,0.23076923076923078
female,group C,high school,free/reduced,0,0.42,0.5421686746987953,0.5555555555555556,0.5018315018315018
male,group C,associate's degree,free/reduced,1,0.6,0.40963855421686746,0.5111111111111111,0.5128205128205129
male,group E,high school,standard,1,0.87,0.8915662650602411,0.7888888888888889,0.8498168498168498
male,group B,some high school,standard,1,0.84,0.7951807228915663,0.7222222222222222,0.7875457875457875
female,group E,associate's degree,free/reduced,1,0.8300000000000001,0.8313253012048193,0.8666666666666667,0.8424908424908425
female,group C,high school,free/reduced,0,0.34,0.3012048192771085,0.32222222222222224,0.32234432234432236
male,group B,high school,free/reduced,0,0.66,0.7228915662650603,0.6666666666666666,0.6813186813186813
male,group B,some high school,standard,1,0.61,0.4698795180722892,0.5111111111111111,0.5347985347985348
female,group D,high school,standard,1,0.56,0.6144578313253013,0.7111111111111111,0.6263736263736264
male,group B,associate's degree,standard,0,0.87,0.819277108433735,0.7,0.7985347985347986
female,group C,some high school,free/reduced,0,0.55,0.5783132530120483,0.5777777777777777,0.5677655677655677
male,group D,some high school,standard,0,0.86,0.7590361445783133,0.7222222222222222,0.7838827838827839
female,group B,associate's degree,standard,1,0.52,0.5903614457831325,0.7,0.6007326007326007
female,group E,master's degree,free/reduced,0,0.45,0.4698795180722892,0.4888888888888889,0.46886446886446886
female,group C,some college,standard,0,0.72,0.6626506024096386,0.6777777777777778,0.6886446886446886
male,group D,high school,standard,0,0.5700000000000001,0.3975903614457832,0.4888888888888889,0.4908424908424909
male,group A,some high school,free/reduced,0,0.68,0.6626506024096386,0.6,0.6483516483516484
female,group C,some college,standard,1,0.88,0.9397590361445783,0.9333333333333333,0.9157509157509157
male,group D,some college,standard,0,0.76,0.5662650602409639,0.6222222222222222,0.6556776556776557
male,group C,associate's degree,standard,0,0.46,0.3132530120481928,0.35555555555555557,0.380952380952381
female,group B,bachelor's degree,standard,0,0.67,0.8313253012048193,0.8111111111111111,0.7655677655677656
male,group E,some high school,standard,0,0.92,0.8433734939759038,0.7555555555555555,0.8424908424908425
male,group C,bachelor's degree,standard,1,0.8300000000000001,0.783132530120482,0.8222222222222222,0.8131868131868132
male,group D,associate's degree,standard,0,0.8,0.6987951807228916,0.7444444444444445,0.7509157509157509
male,group D,bachelor's degree,free/reduced,0,0.63,0.5903614457831325,0.6333333333333333,0.6190476190476191
female,group D,some high school,standard,1,0.64,0.5180722891566265,0.7111111111111111,0.6263736263736264
male,group B,some college,standard,0,0.54,0.42168674698795183,0.45555555555555555,0.47619047619047616
male,group C,associate's degree,standard,0,0.84,0.7590361445783133,0.7777777777777778,0.7948717948717949
male,group D,high school,free/reduced,1,0.73,0.6144578313253013,0.6222222222222222,0.6593406593406593
female,group E,bachelor's degree,standard,0,0.8,0.7951807228915663,0.8111111111111111,0.8021978021978022
female,group D,high school,standard,0,0.56,0.42168674698795183,0.5,0.4981684981684982
male,group E,some college,standard,0,0.59,0.40963855421686746,0.3666666666666667,0.46153846153846156
male,group D,some high school,standard,0,0.75,0.6867469879518073,0.6555555555555556,0.6996336996336997
male,group C,associate's degree,standard,0,0.85,0.710843373493976,0.6777777777777778,0.7509157509157509
male,group E,associate's degree,standard,0,0.89,0.710843373493976,0.7111111111111111,0.7765567765567766
female,group B,high school,standard,1,0.58,0.6385542168674699,0.6444444444444444,0.6190476190476191
female,group B,high school,standard,0,0.65,0.5662650602409639,0.5777777777777777,0.6007326007326007
male,group C,high school,standard,0,0.68,0.5180722891566265,0.4777777777777778,0.5641025641025641
male,group A,some high school,standard,1,0.47000000000000003,0.3855421686746988,0.4333333333333334,0.43223443223443225
female,group D,some college,free/reduced,0,0.71,0.7951807228915663,0.8111111111111111,0.7692307692307693
female,group B,some high school,standard,1,0.6,0.6385542168674699,0.6666666666666666,0.6336996336996337
male,group D,master's degree,standard,0,0.8,0.7590361445783133,0.6888888888888889,0.7509157509157509
male,group D,high school,standard,0,0.54,0.42168674698795183,0.46666666666666673,0.4798534798534799
female,group E,some college,standard,0,0.62,0.674698795180723,0.6666666666666666,0.652014652014652
female,group C,associate's degree,free/reduced,0,0.64,0.674698795180723,0.6444444444444444,0.652014652014652
male,group C,associate's degree,standard,1,0.78,0.7228915662650603,0.7444444444444445,0.7509157509157509
female,group B,some college,standard,0,0.7000000000000001,0.6987951807228916,0.7555555555555555,0.717948717948718
female,group C,master's degree,free/reduced,1,0.65,0.7710843373493976,0.7888888888888889,0.7326007326007327
female,group C,some high school,free/reduced,1,0.64,0.746987951807229,0.7444444444444445,0.706959706959707
male,group C,some college,standard,1,0.79,0.746987951807229,0.7555555555555555,0.7655677655677656
female,group C,some high school,free/reduced,0,0.44,0.3975903614457832,0.45555555555555555,0.43223443223443225
female,group E,high school,standard,0,0.99,0.9156626506024098,0.8888888888888888,0.9340659340659342
male,group D,high school,standard,0,0.76,0.674698795180723,0.6444444444444444,0.6959706959706959
male,group D,some high school,free/reduced,0,0.59,0.3012048192771085,0.34444444444444444,0.4212454212454213
female,group C,bachelor's degree,standard,0,0.63,0.6987951807228916,0.7888888888888889,0.7032967032967034
female,group D,high school,standard,0,0.6900000000000001,0.6626506024096386,0.7444444444444445,0.6996336996336997
female,group D,associate's degree,standard,1,0.88,0.9036144578313253,0.9444444444444444,0.9084249084249084
female,group E,some college,free/reduced,0,0.71,0.710843373493976,0.6666666666666666,0.6959706959706959
male,group C,bachelor's degree,standard,0,0.6900000000000001,0.5542168674698795,0.5666666666666667,0.6080586080586081
male,group C,some college,standard,0,0.58,0.3855421686746988,0.35555555555555557,0.44688644688644685
female,group D,associate's degree,free/reduced,0,0.47000000000000003,0.4337349397590362,0.5333333333333333,0.4798534798534799
female,group D,some college,standard,0,0.65,0.6385542168674699,0.6777777777777778,0.6556776556776557
male,group B,some college,standard,1,0.88,0.819277108433735,0.7333333333333333,0.8131868131868132
male,group C,bachelor's degree,standard,0,0.8300000000000001,0.7349397590361446,0.7,0.7582417582417582
female,group C,some high school,standard,1,0.85,0.9036144578313253,0.9222222222222223,0.8901098901098902
female,group E,high school,standard,1,0.59,0.5542168674698795,0.7222222222222222,0.6227106227106227
female,group C,some high school,free/reduced,0,0.65,0.8313253012048193,0.7777777777777778,0.7472527472527473
male,group B,bachelor's degree,free/reduced,0,0.73,0.4698795180722892,0.5222222222222221,0.5824175824175825
male,group D,high school,standard,0,0.53,0.42168674698795183,0.35555555555555557,0.43956043956043955
male,group D,high school,standard,0,0.45,0.37349397590361455,0.4000000000000001,0.41025641025641024
female,group D,bachelor's degree,free/reduced,0,0.73,0.746987951807229,0.8222222222222222,0.7655677655677656
female,group D,some college,free/reduced,1,0.7000000000000001,0.7349397590361446,0.7555555555555555,0.7289377289377289
female,group B,some high school,standard,0,0.37,0.3493975903614458,0.4000000000000001,0.37362637362637363
male,group B,associate's degree,standard,1,0.81,0.783132530120482,0.7999999999999999,0.7985347985347986
male,group E,associate's degree,standard,1,0.97,0.783132530120482,0.8666666666666667,0.8791208791208791
female,group B,some high school,standard,0,0.67,0.8674698795180723,0.7999999999999999,0.7728937728937729
male,group B,bachelor's degree,free/reduced,0,0.88,0.6987951807228916,0.7333333333333333,0.7765567765567766
male,group E,some high school,standard,1,0.77,0.710843373493976,0.7444444444444445,0.7435897435897436
male,group C,associate's degree,standard,0,0.76,0.6385542168674699,0.6444444444444444,0.684981684981685
male,group D,some high school,standard,0,0.86,0.674698795180723,0.6666666666666666,0.73992673992674
male,group C,some high school,standard,1,0.63,0.5180722891566265,0.5222222222222221,0.5604395604395604
female,group E,bachelor's degree,standard,0,0.65,0.674698795180723,0.7222222222222222,0.6813186813186813
male,group D,high school,free/reduced,1,0.78,0.7228915662650603,0.7777777777777778,0.761904761904762
male,group B,associate's degree,free/reduced,0,0.67,0.5421686746987953,0.5555555555555556,0.5934065934065934
male,group A,some high school,standard,1,0.46,0.28915662650602414,0.3666666666666667,0.3772893772893773
male,group E,associate's degree,standard,1,0.71,0.6867469879518073,0.6444444444444444,0.6813186813186813
